Phrasenum,Word,IPA,Minimal Pair,Gloss,Gloss_2,Carrier,Verified w/ Native?,Syllable,Segment,Type,Position,Position_2,Contrast_(IPA),Contrast,Experiment,Source,Notes
1,حُبوب,ħʊbuːb,هُبوب,seeds,,قُلْ حُبوب واحد و خمسين مرة,X,CVCVC,ħ,pharyngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,pharylary2,ChatGPT,
2,أَمل,ʔamal,عَمَل,hope,,قُلْ أَمل واحد و خمسين مرة,X,CVCVC,ʔ,pharyngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Personal Knowledge,
3,هالة,haːla,حالة,name (halo),,قُلْ هالة واحد و خمسين مرة,X,CVːCV,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,pharylary2,ChatGPT,
4,عَدَّ,ʕadːa,حَدَّ,counting,,قُلْ عَدَّ واحد و خمسين مرة,X,CVCːV,ʕ,pharyngeal,Initial,CV,ʕ - ħ,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
5,تين,tin,طين,fig,,قُلْ تين واحد و خمسين مرة,X,CVC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,pharylary2,https://linguistics.berkeley.edu/acip/appendix/languages/arabic/arabic.html,
6,سيف,sa͡ɪf,صيف,sword,,قُلْ سيف واحد و خمسين مرة,X,CVC,s,plain,Initial,CV,s - sˤ,plain-pharyngealized,pharylary2,Personal Knowledge,
7,نَسَبَ,nasaba,نَصَبَ,attribute,,قُلْ نَسَبَ واحد و خمسين مرة,X,CVCVCV,s,plain,Medial,VCV,s - sˤ,plain-pharyngealized,pharylary2,,
8,هُبوب,hʊbuːb,حُبوب,blowing,dust storm,قُلْ هُبوب واحد و خمسين مرة,X,CVCVC,h,laryngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,ChatGPT,
9,عَمَل,ʕamal,أمل,work,,قُلْ عَمَل واحد و خمسين مرة,X,CVCVC,ʕ,laryngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Personal Knowledge,
10,حالة,ħaːla,هالة,condition,,قُلْ حالة واحد و خمسين مرة,X,CVːCV,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,ChatGPT,
11,حَدَّ,ħadːa,عَدَّ,boundary,to mourn,قُلْ حَدَّ واحد و خمسين مرة,X,CVCːV,ħ,pharyngeal,Initial,CV,redundant,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
12,طين,tˤin,تين,clay,,قُلْ طين واحد و خمسين مرة,X,CVC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,https://linguistics.berkeley.edu/acip/appendix/languages/arabic/arabic.html,
13,صَيف,sˤa͡ɪf,سيف,summer,,قُلْ صَيف واحد و خمسين مرة,X,CVC,sˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,Personal Knowledge,
14,نَصَبَ,nasˤaba,نَسَبَ,"erected, cheat someone",,قُلْ نَصَبَ واحد و خمسين مرة,X,CVCVCV,sˤ,pharyngealized,Medial,VCV,redundant,plain-pharyngealized,pharylary2,,
15,تِفْل,tifl,طِفْل,coffee grounds,,قُلْ تِفْل واحد و خمسين مرة,X,CVCC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,pharylary2,Khattab et al. 2006,
16,طِفْل,tˤifl,تِفْل,child,,قُلْ طِفْل واحد و خمسين مرة,X,CVCC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,Khattab et al. 2006,
17,هانَ,haːna,حانَ,value of person deteriorated,,قُلْ هانَ واحد و خمسين مرة,X,CVːCV,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,pharylary2,Twitter,
18,حانَ,ħaːna,هانَ,the moment arrived,,قُلْ حانَ واحد و خمسين مرة,X,CVːCV,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Twitter,
