participant_id,prolific_id,timestamp_iso,trial_index,block,trial_id,audio_file,audio_url,target_image,distractor_image,target_side,left_image,right_image,choice,choice_image,is_correct,reaction_time_ms,headphone_type,timestamp_iso,recognize,understand,meaning_match,msa_dialect,natural,dialect_best,dialect_second,understand_other,msa_instruction,msa_vowels,msa_reading,msa_listening,other_languages,percent_english,percent_arabic,percent_other,language_switching,family_preference,age,gender,country_of_residence,attention_audio,attention_response,attention_index,final_feedback,completion_code
ksdjhfsdl,ksdjhfsdl,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksdjhfsdl,ksdjhfsdl,,1,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksdjhfsdl,ksdjhfsdl,,2,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksdjhfsdl,ksdjhfsdl,,3,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksdjhfsdl,ksdjhfsdl,,4,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksdjhfsdl,ksdjhfsdl,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuhuh,kuhuh,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuhuh,kuhuh,,1,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuhuh,kuhuh,,2,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kukhluh,kukhluh,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kukhluh,kukhluh,,1,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kukhluh,kukhluh,,2,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kukhluh,kukhluh,,3,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,1,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,2,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,3,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,4,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsafsdf,dsafsdf,,5,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdfasdfads,asdfasdfads,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdfasdfads,asdfasdfads,,1,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdfasdfads,asdfasdfads,,2,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdfasdfads,asdfasdfads,,3,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
