trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score,trial_type,is_hardcoded
43.0,0.4277710415498004,0.2678703452806771,0.40978572957681303,0.315115038144335,,43_non-creaky.wav,ʔalb-b.wav,gs,k,gs-k,43,Initial,44.png,139.png,test,allophone,non-creaky,قَلب,كَلب,heart,dog,قَلب,كَلب,2704.0,21029.0,1.0,18.0,-0.06980014183233041,386.05555555555554,0.3551355386379064,Accurate-Fast,True
173.0,0.23575682306972154,0.30547106209805586,0.49193277355740905,-0.9250603152209266,,173_creaky.wav,ʔaːnuːn-c.wav,gs,k,gs-k,29,Initial,28.png,123.png,test,allophone,creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378.0,101878.0,1.0,12.0,0.023989767838196382,448.9166666666667,0.027025085876064975,Accurate-Fast,False
35.0,0.33950644111944156,0.30989467584127695,0.46868361016667437,-0.5665062164588612,,35_non-creaky.wav,waʔarːar-b.wav,gs,k,gs-k,35,Medial,34.png,129.png,test,allophone,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,1.0,12.0,0.3443274701802082,502.1666666666667,0.13789462766713295,Accurate-Slow,True
39.0,0.11187668211483195,0.08429037493700413,0.1509450438266328,-0.9250603152209266,,39_non-creaky.wav,waʔiːl-b.wav,gs,k,gs-k,39,Medial,40.png,135.png,test,allophone,non-creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767.0,3581.0,1.0,17.0,0.03727614018095175,394.8235294117647,-0.14448705358561442,Accurate-Slow,True
15.0,0.280663374165869,0.22584601472007723,0.3803367892818823,0.047957082203972504,,15_non-creaky.wav,jaʔfɪl-b.wav,gs,k,gs-k,15,Medial,14.png,109.png,test,allophone,non-creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,,0.9285714285714286,14.0,-0.010853548831878961,405.0,0.23370081509295026,Ambiguous,True
163.0,-1.190413299673445,-1.0930714367202867,-1.7694358522480573,-0.9405273547753688,,163_creaky.wav,jaʔʊfː-c.wav,gs,k,gs-k,19,Medial,18.png,113.png,test,allophone,creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,,0.9285714285714286,14.0,0.32112286595145806,493.85714285714283,-1.2483619858542894,Ambiguous,False
226.0,0.3983495080730141,0.30989467584127695,0.46868361016667437,-0.03219030457813623,,226_creaky.wav,nafaʔ-c.wav,gs,t,gs-t,82,Final,82.png,177.png,test,allophone,creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056.0,10423.0,1.0,17.0,0.0017976501071649733,399.88235294117646,0.2861843723757073,Accurate-Fast,
71.0,0.4277710415498004,0.30989467584127695,0.5275814907565357,-0.4863588296767524,,71_non-creaky.wav,ʔælʕɑʔiːd-b.wav,gs,t,gs-t,71,Medial,74.png,169.png,test,allophone,non-creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868.0,2069.0,1.0,13.0,-0.15081474541594422,384.61538461538464,0.1947220946177151,Accurate-Fast,
68.0,0.36892797459622784,0.30989467584127695,0.46868361016667437,0.315115038144335,,68_non-creaky.wav,ʔæːl-b.wav,gs,t,gs-t,68,Initial,75.png,165.png,test,allophone,non-creaky,قال,تال,said,following;subsequent,قال,تال,430162.0,1418.0,1.0,16.0,0.08767832647016195,435.5,0.3656553246871285,Accurate-Slow,
69.0,0.36892797459622784,0.30989467584127695,0.49813255046160504,0.20825185576819,,69_non-creaky.wav,ʔaʔwa-b.wav,gs,t,gs-t,69,Medial,72.png,167.png,test,allophone,non-creaky,أَقوى,أَتوا,stronger/strongest;more/most_powerful,arrive;come;reach,أَقوى,أَتوا,14518.0,2757.0,1.0,14.0,0.2408362747013561,440.2857142857143,0.34630176416682495,Accurate-Slow,
