trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score
15.0,0.280663374165869,0.22584601472007723,0.3803367892818823,0.047957082203972504,,15_non-creaky.wav,jaʔfɪl-b.wav,gs,k,gs-k,15,Medial,14.png,109.png,test,allophone,non-creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,,0.9411764705882353,17,0.12462690257002498,714.4705882352941,0.23370081509295026
29.0,0.4525470697407783,0.17276264980142483,0.46093388903642946,-0.27825684294425956,,29_non-creaky.wav,ʔaːnuːn-b.wav,gs,k,gs-k,29,Initial,28.png,123.png,test,allophone,non-creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378.0,101878.0,0.7368421052631579,19,0.46238551579410414,6395.105263157895,0.20199669140859328
159.0,0.3100849076426553,0.14179735359887755,0.3508878489869517,-0.21920087373639002,,159_creaky.wav,jaʔfɪl-c.wav,gs,k,gs-k,15,Medial,14.png,109.png,test,allophone,creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,,0.9444444444444444,18,0.39616400812955066,771.5,0.14589230912302364
35.0,0.33950644111944156,0.30989467584127695,0.46868361016667437,-0.5665062164588612,,35_non-creaky.wav,waʔarːar-b.wav,gs,k,gs-k,35,Medial,34.png,129.png,test,allophone,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,0.9473684210526315,19,0.08884693178535134,750.6842105263158,0.13789462766713295
179.0,0.33950644111944156,0.2678703452806771,0.46868361016667437,-0.7802325812111512,,179_creaky.wav,waʔarːar-c.wav,gs,k,gs-k,35,Medial,34.png,129.png,test,allophone,creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,0.9444444444444444,18,0.37327291346942243,1498.0555555555557,0.07395695383891049
173.0,0.23575682306972154,0.30547106209805586,0.49193277355740905,-0.9250603152209266,,173_creaky.wav,ʔaːnuːn-c.wav,gs,k,gs-k,29,Initial,28.png,123.png,test,allophone,creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378.0,101878.0,0.9473684210526315,19,0.06102988126186309,648.1052631578947,0.027025085876064975
13.0,-0.6019826301377192,-0.6443048298288134,-0.14974413602686992,-0.4062114428946438,,13_non-creaky.wav,jaʔʃɪf-b.wav,gs,k,gs-k,13,Medial,12.png,107.png,test,allophone,non-creaky,يَقشِف,يَكشِف,to live in squalor or misery,"to expose, uncover",يَقشِف,يَكشِف,,,0.9444444444444444,18,-0.05457696148631657,554.3888888888889,-0.45056075972201154
177.0,-0.6019826301377192,-0.7119600988427822,-0.12029519573193923,-1.2611169019038038,,177_creaky.wav,taraʔ-c.wav,gs,k,gs-k,33,Final,32.png,127.png,test,allophone,creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670.0,19302.0,0.9473684210526315,19,0.07019166473190477,630.7368421052631,-0.6738387066540611
155.0,-1.4257855674877349,-1.2269951275178028,-1.1215591657595823,-0.86037996799326,,155_creaky.wav,jaʔsɪr-c.wav,gs,k,gs-k,11,Medial,9.png,104.png,test,allophone,creaky,يَقسِر,يَكسِر,to force or coerce,to break,يَقسِر,يَكسِر,2.0,1056.0,0.9444444444444444,18,0.6306522753467134,1148.3333333333333,-1.158679957189595
81.0,0.3983495080730141,0.35191900640187673,0.46868361016667437,-0.16576928254831752,,81_non-creaky.wav,ʔasˤiːr-b.wav,gs,t,gs-t,81,Initial,81.png,176.png,test,allophone,non-creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833.0,3536.0,0.7777777777777778,18,0.3832124017447648,815.6666666666666,0.26329571052331197
