Trial,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq
1,,1_non-creaky.wav,fæːqa-b.wav,q,t,q-t,1,Medial,1.png,96.png,test,phoneme,non-creaky,فاقَ,فاتَ,to exceed or go beyond,to pass by in time,فاقَ,فاتَ,,
2,,2_non-creaky.wav,fæːʔa-b.wav,gs,t,gs-t,2,Medial,1.png,96.png,test,allophone,non-creaky,فاقَ,فاتَ,to exceed or go beyond,to pass by in time,فاقَ,فاتَ,,
3,,3_non-creaky.wav,jʊʔaʒɪr-b.wav,ʔ,t,ʔ-t,3,Medial,3.png,98.png,test,phoneme,non-creaky,يُؤَجِر,يُتَجِر,to rent out,to trade,يُؤَجِر,يُتَجِر,,
4,,4_non-creaky.wav,jʊqarːɪb-b.wav,q,t,q-t,4,Medial,4.png,99.png,test,phoneme,non-creaky,يُقَرِّب,يُتَرِّب,to approach,to cover with dust,يُقَرِّب,يُتَرِّب,,
5,,5_non-creaky.wav,jʊʔarːɪb-b.wav,gs,t,gs-t,5,Medial,4.png,99.png,test,allophone,non-creaky,يُقَرِّب,يُتَرِّب,to approach,to cover with dust,يُقَرِّب,يُتَرِّب,,
6,,6_non-creaky.wav,jʊqasˤːɪl-b.wav,q,t,q-t,6,Medial,6.png,101.png,test,phoneme,non-creaky,يُقَصِّل,يُتَصِّل,to feed hay to livestock,to connect,يُقَصِّل,يُتَصِّل,,
7,target repeats,7_non-creaky.wav,jʊʔasˤːɪl-b.wav,ʔ,t,ʔ-t,7,Medial,7.png,101.png,test,phoneme,non-creaky,يُأَصِّل,يُتَصِّل,to found or originate,to connect,يُأَصِّل,يُتَصِّل,,
8,duplicated 7.wav,8_non-creaky.wav,jʊʔasˤːɪl-b.wav,gs,t,gs-t,8,Medial,6.png,101.png,test,allophone,non-creaky,يُقَصِّل,يُتَصِّل,to feed hay to livestock,to connect,يُقَصِّل,يُتَصِّل,,
9,,9_non-creaky.wav,jaqsɪr-b.wav,q,k,q-k,9,Medial,9.png,104.png,test,phoneme,non-creaky,يَقسِر,يَكسِر,to force or coerce,to break,يَقسِر,يَكسِر,2,1056
10,,10_non-creaky.wav,jaʔsɪr2-b.wav,ʔ,k,ʔ-k,10,Medial,10.png,104.png,test,phoneme,non-creaky,يَأسِر,يَكسِر,to bind,to break,يَأسِر,يَكسِر,,
11,,11_non-creaky.wav,jaʔsɪr-b.wav,gs,k,gs-k,11,Medial,9.png,104.png,test,allophone,non-creaky,يَقسِر,يَكسِر,to force or coerce,to break,يَقسِر,يَكسِر,2,1056
12,,12_non-creaky.wav,jaqʃɪf-b.wav,q,k,q-k,12,Medial,12.png,107.png,test,phoneme,non-creaky,يَقشِف,يَكشِف,to live in squalor or misery,"to expose, uncover",يَقشِف,يَكشِف,,
13,,13_non-creaky.wav,jaʔʃɪf-b.wav,gs,k,gs-k,13,Medial,12.png,107.png,test,allophone,non-creaky,يَقشِف,يَكشِف,to live in squalor or misery,"to expose, uncover",يَقشِف,يَكشِف,,
14,,14_non-creaky.wav,jaqfɪl-b.wav,q,k,q-k,14,Medial,14.png,109.png,test,phoneme,non-creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,
15,,15_non-creaky.wav,jaʔfɪl-b.wav,gs,k,gs-k,15,Medial,14.png,109.png,test,allophone,non-creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,
16,,16_non-creaky.wav,jʊqarːɪf-b.wav,q,t,q-t,16,Medial,16.png,112.png,test,phoneme,non-creaky,يُقرِّف,يُترّّف,to arouse digust,to spoil in luxury,يُقرِّف,يُترّّف,,
17,,17_non-creaky.wav,jʊʔarːɪf-b.wav,gs,t,gs-t,17,Medial,16.png,112.png,test,allophone,non-creaky,يُقرِّف,يُترِّف,to arouse digust,to spoil in luxury,يُقرِّف,يُترِّف,,
18,,18_non-creaky.wav,jaqʊfː-b.wav,q,k,q-k,18,Medial,18.png,113.png,test,phoneme,non-creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,
19,,19_non-creaky.wav,jaʔʊfː-b.wav,gs,k,gs-k,19,Medial,18.png,113.png,test,allophone,non-creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,
20,,20_non-creaky.wav,jaqsɪb-b.wav,q,k,q-k,20,Medial,20.png,115.png,test,phoneme,non-creaky,يَقسِب,يَكسِب,"to flow, to trickle down",to win a struggle or war,يَقسِب,يَكسِب,,
21,,21_non-creaky.wav,jaʔsɪb-b.wav,gs,k,gs-k,21,Medial,20.png,115.png,test,allophone,non-creaky,يَقسِب,يَكسِب,"to flow, to trickle down",to win a struggle or war,يَقسِب,يَكسِب,,
22,,22_non-creaky.wav,jʊʔalːɪf-b.wav,ʔ,t,ʔ-t,22,Medial,22.png,117.png,test,phoneme,non-creaky,يُؤَلِّف,يُتَلِّف,to become familiar with,"to perish, to spoil, to destroy",يُؤَلِّف,يُتَلِّف,,
23,,23_non-creaky.wav,jaʔnɪs-b.wav,ʔ,k,ʔ-k,23,Medial,23.png,118.png,test,phoneme,non-creaky,يَأنِس,يَكنِس,to become used to,to hide or retreat,يَأنِس,يَكنِس,,
24,,24_non-creaky.wav,jaʔwi-b.wav,ʔ,k,ʔ-k,24,Medial,24.png,119.png,test,phoneme,non-creaky,يَأوي,يَكوي,to take shelter (or receive shelter),"to sear, to cauterize",يَأوي,يَكوي,,
25,,25_non-creaky.wav,nabaʔ-b.wav,ʔ,t,ʔ-t,25,Final,25.png,120.png,test,phoneme,non-creaky,نَبَأ,نَبَت,"to elevate, to exalt","to germinate, to sprout",نَبَأ,نَبَت,,
26,,26_non-creaky.wav,jaquːn-b.wav,q,k,q-k,26,Medial,26.png,121.png,test,phoneme,non-creaky,يَقون,يَكون,preserve;safeguard,be,يَقون,يَكون,4,254261
27,,27_non-creaky.wav,jaʔuːn-b.wav,gs,k,gs-k,27,Medial,26.png,121.png,test,allophone,non-creaky,يَقون,يَكون,preserve;safeguard,be,يَقون,يَكون,4,254261
28,,28_non-creaky.wav,qaːnuːn-b.wav,q,k,q-k,28,Initial,28.png,123.png,test,phoneme,non-creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378,101878
29,,29_non-creaky.wav,ʔaːnuːn-b.wav,gs,k,gs-k,29,Initial,28.png,123.png,test,allophone,non-creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378,101878
30,,30_non-creaky.wav,quːba-b.wav,q,k,q-k,30,Initial,30.png,125.png,test,phoneme,non-creaky,قوبا,كوبا,young_bird;chick,Cuba,قوبا,كوبا,10,21391
31,,31_non-creaky.wav,ʔuːba-b.wav,gs,k,gs-k,31,Initial,30.png,125.png,test,allophone,non-creaky,قوبا,كوبا,young_bird;chick,Cuba,قوبا,كوبا,10,21391
32,,32_non-creaky.wav,taraq-b.wav,q,k,q-k,32,Final,32.png,127.png,test,phoneme,non-creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670,19302
33,,33_non-creaky.wav,taraʔ-b.wav,gs,k,gs-k,33,Final,32.png,127.png,test,allophone,non-creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670,19302
34,,34_non-creaky.wav,waqarːar-b.wav,q,k,q-k,34,Medial,34.png,129.png,test,phoneme,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138,12919
35,,35_non-creaky.wav,waʔarːar-b.wav,gs,k,gs-k,35,Medial,34.png,129.png,test,allophone,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138,12919
36,,36_non-creaky.wav,waqæːd-b.wav,q,k,q-k,36,Medial,36.png,131.png,test,phoneme,non-creaky,وَقاد,وَكاد,lead;guide,almost;hardly;no_sooner,وَقاد,وَكاد,5898,7904
37,,37_non-creaky.wav,waʔæːd-b.wav,gs,k,gs-k,37,Medial,36.png,131.png,test,allophone,non-creaky,وَقاد,وَكاد,lead;guide,almost;hardly;no_sooner,وَقاد,وَكاد,5898,7904
38,,38_non-creaky.wav,waqiːl-b.wav,q,k,q-k,38,Medial,40.png,135.png,test,phoneme,non-creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767,3581
39,,39_non-creaky.wav,waʔiːl-b.wav,gs,k,gs-k,39,Medial,40.png,135.png,test,allophone,non-creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767,3581
40,,40_non-creaky.wav,qawaː-b.wav,q,k,q-k,40,Initial,42.png,137.png,test,phoneme,non-creaky,قَوى,كَوى,power;forces,apertures;skylights,قَوى,كَوى,51772,3129
41,,41_non-creaky.wav,ʔawaː-b.wav,gs,k,gs-k,41,Initial,42.png,137.png,test,allophone,non-creaky,قَوى,كَوى,power;forces,apertures;skylights,قَوى,كَوى,51772,3129
42,,42_non-creaky.wav,qalb-b.wav,q,k,q-k,42,Initial,44.png,139.png,test,phoneme,non-creaky,قَلب,كَلب,heart,dog,قَلب,كَلب,2704,21029
43,,43_non-creaky.wav,ʔalb-b.wav,gs,k,gs-k,43,Initial,44.png,139.png,test,allophone,non-creaky,قَلب,كَلب,heart,dog,قَلب,كَلب,2704,21029
44,,44_non-creaky.wav,ʔakuːn-b.wav,ʔ,k,ʔ-k,44,Initial,46.png,141.png,test,phoneme,non-creaky,أكون,تَكون,be,be,أكون,تَكون,100374,5576
45,,45_non-creaky.wav,ʔʊriːd-b.wav,ʔ,t,ʔ-t,45,Initial,47.png,142.png,test,phoneme,non-creaky,أُريد,تُريد,want;desire;intend,want;desire;intend,أُريد,تُريد,59771,17337
46,,46_non-creaky.wav,ʔaʕmal-b.wav,ʔ,t,ʔ-t,46,Initial,48.png,143.png,test,phoneme,non-creaky,أعمَل,تَعمَل,work;function;act,work;function;act,أعمَل,تَعمَل,1553,54990
