Trial,TargetWordAudioFile,Target,Condition,CarrierType,Group,TargetDisplay,DistractorDisplay
1,button_t_b,button,t,noncreaky,nasal,button,bun
2,rotten_t_b,rotten,t,noncreaky,nasal,rotten,Ron
3,gotten_t_b,gotten,t,noncreaky,nasal,gotten,gone
4,beaten_t_b,beaten,t,noncreaky,nasal,beaten,bean
5,keaton_t_b,Keaton,t,noncreaky,nasal,keaton,keen
6,satan_t_b,satan,t,noncreaky,nasal,satan,sane
7,dayton_t_b,Dayton,t,noncreaky,nasal,dayton,dane
8,atlas_t_b,atlas,t,noncreaky,sonorant,atlas,Alice
9,motley_t_b,motley,t,noncreaky,sonorant,motley,Molly
10,whitney_t_b,Whitney,t,noncreaky,sonorant,whitney,whinny
11,witless_t_b,witless,t,noncreaky,sonorant,witless,Willis
12,settler_t_b,settler,t,noncreaky,sonorant,settler,seller
13,greatness_t_b,greatness,t,noncreaky,sonorant,greatness,grayness
14,curtly_t_b,curtly,t,noncreaky,sonorant,curtly,curly
15,dent_t_b,dent,t,noncreaky,orthographic,dent,den
16,jaunt_t_b,jaunt,t,noncreaky,orthographic,jaunt,John
17,tint_t_b,tint,t,noncreaky,orthographic,tint,tin
18,lint_t_b,lint,t,noncreaky,orthographic,lint,Lynn
19,font_t_b,font,t,noncreaky,orthographic,font,fawn
20,paint_t_b,paint,t,noncreaky,orthographic,paint,pain
21,faint_t_b,faint,t,noncreaky,orthographic,faint,feign
22,button_gs_b,button,gs,noncreaky,nasal,button,bun
23,rotten_gs_b,rotten,gs,noncreaky,nasal,rotten,Ron
24,gotten_gs_b,gotten,gs,noncreaky,nasal,gotten,gone
25,beaten_gs_b,beaten,gs,noncreaky,nasal,beaten,bean
26,keaton_gs_b,Keaton,gs,noncreaky,nasal,keaton,keen
27,satan_gs_b,satan,gs,noncreaky,nasal,satan,sane
28,dayton_gs_b,Dayton,gs,noncreaky,nasal,dayton,dane
29,atlas_gs_b,atlas,gs,noncreaky,sonorant,atlas,Alice
30,motley_gs_b,motley,gs,noncreaky,sonorant,motley,Molly
31,whitney_gs_b,Whitney,gs,noncreaky,sonorant,whitney,whinny
32,witless_gs_b,witless,gs,noncreaky,sonorant,witless,Willis
33,settler_gs_b,settler,gs,noncreaky,sonorant,settler,seller
34,greatness_gs_b,greatness,gs,noncreaky,sonorant,greatness,grayness
35,curtly_gs_b,curtly,gs,noncreaky,sonorant,curtly,curly
36,dent_gs_b,dent,gs,noncreaky,orthographic,dent,den
37,jaunt_gs_b,jaunt,gs,noncreaky,orthographic,jaunt,John
38,tint_gs_b,tint,gs,noncreaky,orthographic,tint,tin
39,lint_gs_b,lint,gs,noncreaky,orthographic,lint,Lynn
40,font_gs_b,font,gs,noncreaky,orthographic,font,fawn
41,paint_gs_b,paint,gs,noncreaky,orthographic,paint,pain
42,faint_gs_b,faint,gs,noncreaky,orthographic,faint,feign
43,button_gs2_b,button,gs2,noncreaky,nasal,button,bun
44,rotten_gs2_b,rotten,gs2,noncreaky,nasal,rotten,Ron
45,gotten_gs2_b,gotten,gs2,noncreaky,nasal,gotten,gone
46,beaten_gs2_b,beaten,gs2,noncreaky,nasal,beaten,bean
47,keaton_gs2_b,Keaton,gs2,noncreaky,nasal,keaton,keen
48,satan_gs2_b,satan,gs2,noncreaky,nasal,satan,sane
49,dayton_gs2_b,Dayton,gs2,noncreaky,nasal,dayton,dane
50,atlas_gs2_b,atlas,gs2,noncreaky,sonorant,atlas,Alice
51,motley_gs2_b,motley,gs2,noncreaky,sonorant,motley,Molly
52,whitney_gs2_b,Whitney,gs2,noncreaky,sonorant,whitney,whinny
53,witless_gs2_b,witless,gs2,noncreaky,sonorant,witless,Willis
54,settler_gs2_b,settler,gs2,noncreaky,sonorant,settler,seller
55,greatness_gs2_b,greatness,gs2,noncreaky,sonorant,greatness,grayness
56,curtly_gs2_b,curtly,gs2,noncreaky,sonorant,curtly,curly
57,button_t_c,button,t,creaky,nasal,button,bun
58,rotten_t_c,rotten,t,creaky,nasal,rotten,Ron
59,gotten_t_c,gotten,t,creaky,nasal,gotten,gone
60,beaten_t_c,beaten,t,creaky,nasal,beaten,bean
61,keaton_t_c,Keaton,t,creaky,nasal,keaton,keen
62,satan_t_c,satan,t,creaky,nasal,satan,sane
63,dayton_t_c,Dayton,t,creaky,nasal,dayton,dane
64,atlas_t_c,atlas,t,creaky,sonorant,atlas,Alice
65,motley_t_c,motley,t,creaky,sonorant,motley,Molly
66,whitney_t_c,Whitney,t,creaky,sonorant,whitney,whinny
67,witless_t_c,witless,t,creaky,sonorant,witless,Willis
68,settler_t_c,settler,t,creaky,sonorant,settler,seller
69,greatness_t_c,greatness,t,creaky,sonorant,greatness,grayness
70,curtly_t_c,curtly,t,creaky,sonorant,curtly,curly
71,dent_t_c,dent,t,creaky,orthographic,dent,den
72,jaunt_t_c,jaunt,t,creaky,orthographic,jaunt,John
73,tint_t_c,tint,t,creaky,orthographic,tint,tin
74,lint_t_c,lint,t,creaky,orthographic,lint,Lynn
75,font_t_c,font,t,creaky,orthographic,font,fawn
76,paint_t_c,paint,t,creaky,orthographic,paint,pain
77,faint_t_c,faint,t,creaky,orthographic,faint,feign
78,button_gs_c,button,gs,creaky,nasal,button,bun
79,rotten_gs_c,rotten,gs,creaky,nasal,rotten,Ron
80,gotten_gs_c,gotten,gs,creaky,nasal,gotten,gone
81,beaten_gs_c,beaten,gs,creaky,nasal,beaten,bean
82,keaton_gs_c,Keaton,gs,creaky,nasal,keaton,keen
83,satan_gs_c,satan,gs,creaky,nasal,satan,sane
84,dayton_gs_c,Dayton,gs,creaky,nasal,dayton,dane
85,atlas_gs_c,atlas,gs,creaky,sonorant,atlas,Alice
86,motley_gs_c,motley,gs,creaky,sonorant,motley,Molly
87,whitney_gs_c,Whitney,gs,creaky,sonorant,whitney,whinny
88,witless_gs_c,witless,gs,creaky,sonorant,witless,Willis
89,settler_gs_c,settler,gs,creaky,sonorant,settler,seller
90,greatness_gs_c,greatness,gs,creaky,sonorant,greatness,grayness
91,curtly_gs_c,curtly,gs,creaky,sonorant,curtly,curly
92,dent_gs_c,dent,gs,creaky,orthographic,dent,den
93,jaunt_gs_c,jaunt,gs,creaky,orthographic,jaunt,John
94,tint_gs_c,tint,gs,creaky,orthographic,tint,tin
95,lint_gs_c,lint,gs,creaky,orthographic,lint,Lynn
96,font_gs_c,font,gs,creaky,orthographic,font,fawn
97,paint_gs_c,paint,gs,creaky,orthographic,paint,pain
98,faint_gs_c,faint,gs,creaky,orthographic,faint,feign
99,button_gs2_c,button,gs2,creaky,nasal,button,bun
100,rotten_gs2_c,rotten,gs2,creaky,nasal,rotten,Ron
101,gotten_gs2_c,gotten,gs2,creaky,nasal,gotten,gone
