trialnum,w1
1,قال لنا هبيب ألف مرة
2,قال لنا أمل ألف مرة
3,قال لنا هال ألف مرة
4,قال لنا عَدّ ألف مرة
5,قال لنا تين ألف مرة
6,قال لنا سيف ألف مرة
7,قال لنا درب ألف مرة
8,قال لنا نسبَ ألف مرة
9,قال لنا سأل ألف مرة
10,قال لنا فادي ألف مرة
11,قال لنا حبيب ألف مرة
12,قال لنا عمل ألف مرة
13,قال لنا حال ألف مرة
14,قال لنا حَدّ ألف مرة
15,قال لنا طين ألف مرة
16,قال لنا صيف ألف مرة
17,قال لنا ضرب ألف مرة
18,قال لنا نصبَ ألف مرة
19,قال لنا سَهل ألف مرة
20,قال لنا فاضي ألف مرة
21,قال لنا تِفل ألف مرة
22,قال لنا طِفل ألف مرة
23,قال لنا تيار ألف مرة
24,قال لنا طيار ألف مرة
25,قال لنا تمر ألف مرة
26,قال لنا طمر ألف مرة
